sectors,keyword_es
Biotecnología,terapia con células tk
Biotecnología,terapia de genes
Biotecnología,transcriptómica espacial
Biotecnología,transfección asistida por imán
Biotecnología,transferir sistema binario de adn.
Energía,secuestro de carbón
Piscícola,seguimiento de la pesca
Agro,seguridad alimentaria
Biotecnología,transistor de efecto de campo de adn
Residuos,serrín
Agro,servicios agrícolas
Transversal,servicios de ecosistema
Forestal,silvicultura
Transversal,simulación de bioprocesos
Transversal,simulación de procesos
Transversal,simulaciónmatlab
Transversal,síntesis orgánica
Biotecnología,vectores en terapia génica
Agro,sistema agroalimentario
Agro,sistema agroforestal
Energía,sistema de biogás
Transversal,sistema de biomasa
Biotecnología,secuenciación de próxima generación
Biotecnología,alo-715
Agro,sistemas alimentarios
Piscícola,sistemas de acuicultura
Agro,sistemas de energía alimentaria
Energía,sistemas de energía renovable
Energía,sistemas de energía solar
Salud,sistemas de entrega
Energía,sistemas de gas natural
Transversal,sistemas de producción
Transversal,sistemas dinámicos
Biotecnología,genetica vegetal
Transversal,soluciones basadas en la naturaleza
Transversal,soluciones climáticas
Biotecnología,bamhi
Biotecnología,biología molecular vegetal
Transversal,sostener la biodiversidad
Transversal,sostenibilidad
Transversal,sostenibilidad computacional
Transversal,sostenibilidad del medio ambiente
Transversal,sostenibilidad urbana
Biotecnología,colección de bases de datos biocyc
Biotecnología,construcción kode función-espaciador-lípido
Agro,suelo
Biotecnología,ecori
Transversal,taxonomía
Biotecnología,biotecnología vegetal
Biotecnología,eftilagimod alfa
Biotecnología,endonucleasa de colgajo
Agro,técnicas de almacenamiento
Biotecnología,exposoma
Biotecnología,flujofet
Transversal,técnicas de descontaminación
Residuos,técnicas de eliminación de residuos
Biotecnología,genocad
Biotecnología,i-crei
Biotecnología,ilcd
Transversal,tecnología climática
Transversal,tecnología de bioprocesos
Energía,tecnología de combustible de biomasa
Biotecnología,lista de sitios de corte de enzimas de restricción
Agro,tecnología de los alimentos
Transversal,tecnología de microalgas
Transversal,tecnología de química verde
Biotecnología,lista de sitios de corte de enzimas de restricción: a
Energía,tecnología energética de biocombustibles
Energía,tecnología para energías renovables
Biotecnología,lista de sitios de corte de enzimas de restricción: ba – bc
Transversal,tecnología verde
Energía,tecnologías de energías renovables
Energía,tecnologías de hidrógeno
Biotecnología,lista de sitios de corte de enzimas de restricción: bd-bp
Salud,terapia antisentido
Biotecnología,lista de sitios de corte de enzimas de restricción: bsa – bso
Salud,terapia celular
Biotecnología,lista de sitios de corte de enzimas de restricción: bsp – bss
Biotecnología,lista de sitios de corte de enzimas de restricción: bst – bv
Biotecnología,lista de sitios de corte de enzimas de restricción: c – d
Salud,terapias genéticas
Biotecnología,lista de sitios de corte de enzimas de restricción: e – f
Biotecnología,lista de sitios de corte de enzimas de restricción: g – k
Biotecnología,lista de sitios de corte de enzimas de restricción: l – n
Biotecnología,lista de sitios de corte de enzimas de restricción: o – r
Biotecnología,lista de sitios de corte de enzimas de restricción: s
Biotecnología,lista de sitios de corte de enzimas de restricción: t – z
Biotecnología,nb.bbvci
Biotecnología,neoepítopo
Biotecnología,nlaiii
Biotecnología,nucleasa de dedos de zinc
Residuos,tratamiento biológico de aguas residuales
Residuos,tratamiento de aguas residuales
Residuos,tratamiento de aguas residuales municipales
Transversal,tratamiento de aguas y aguas residuales
Residuos,tratamiento de desechos
Transversal,trazabilidad del producto
Transversal,triple línea superior
Transversal,triple resultado final
Biotecnología,nucleótido aminoalilo
Energía,uso sostenible de la energía
Agro,uso sostenible de la tierra
Transversal,valorización de coproductos
Transversal,valorización de subproductos
Biotecnología,pegilación de lisozima
Biotecnología,procesos de fermentación de bebidas.
Biotecnología,pubgene
Salud,viroterapia
Salud,virus del herpes oncolítico
Biotecnología,genética vegetal
Transversal,vitaminas
Biotecnología,pvsripo
Transversal,biorrecursos
Transversal,gestión sostenible de recursos
Transversal,química verde
Transversal,recursos biogénicos
Turismo,activo biocultural
Turismo,conservación de la biodiversidad
Turismo,bioregion
Turismo,biodiversidad de aves
Turismo,aviturismo
Turismo,observación de aves
Turismo,destino azul
Turismo,infraestructura azul
Turismo,red de monitoreo comunitario de ecosistemas
Turismo,turismo comunitario
Turismo,viaje consciente
Turismo,valores ecológicos
Turismo,ecoturismo
Turismo,cadena de valor de servicios ecoturísticos
Turismo,eficiencia energética
Turismo,sensibilización ambiental
Turismo,compensación ambiental
Turismo,conservacion medioambiental
Turismo,huella ambiental
Turismo,impacto ambiental
Turismo,gestión de pasivos ambientales
Turismo,desempeño ambiental del turismo
Turismo,responsabilidad ambiental
Turismo,valores ambientales
Turismo,gobernanza para el turismo sostenible
Turismo,edificio verde
Turismo,infraestructura verde
Turismo,industria turística verde
Turismo,observación de herpetos
Turismo,destino innovador
Turismo,oferta innovadora de turismo
Turismo,Productos turísticos innovadores 
Turismo,patrimonio cultural inmaterial
Turismo,capacidad de carga
Turismo,comunidades locales
Turismo,oferta turística baja en carbono
Turismo,mitigación de la huella ambiental del turismo
Turismo,patrimonio nacional
Turismo,capital natural
Turismo,bienes naturales
Turismo,patrimonio natural
Turismo,parques naturales
Turismo,reserva natural
Turismo,atractivo turistico natural
Turismo,riqueza natural
Turismo,turismo científico de naturaleza
Turismo,turismo de naturaleza
Turismo,experiencias turísticas centradas en la naturaleza
Turismo,destino turístico libre de plásticos
Turismo,área natural protegida
Turismo,provisión de servicios ecosistémicos
Turismo,turismo regenerativo
Turismo,narrativa turística regional
Turismo,destino turistico resiliente
Turismo,gestión responsable de los recursos
Turismo,gestión del riesgo para el turismo sostenible
Turismo,rutas sustentadas en capital natural
Turismo,turismo cientifico de naturaleza
Biotecnología,terapia de adn con plásmido hgf humano
Turismo,tratamiento de aguas residuales
Turismo,turismo sostenible inteligente
Turismo,destino turistico inteligente
Turismo,inclusión social
Turismo,a integridad sociocultural
Turismo,manejo de residuos sólidos
Turismo,turismo de naturaleza especializado 
Turismo,ecosistemas estratégicos
Turismo,sostenibilidad de atractivos 
Turismo,sostenibilidad de la cadena de valor del turismo
Turismo,sostenibilidad de destino turístico
Turismo,consumo sostenible
Turismo,infraestructura sostenible
Turismo,prácticas sostenibles
Turismo,producto turístico especializado sustentable
Turismo,turismo sostenible
Turismo,negocio turístico sostenible
Turismo,"indicadores de turismo sostenible"
Turismo,inversión turística sostenible
Turismo,gestión del turismo sostenible
Turismo,oferta turística sostenible
Turismo,producción sostenible del turismo
Turismo,Productos turísticos sostenibles
Turismo,proyecto turístico sostenible
Turismo,calidad turística sostenible
Turismo,destinos turísticos sostenibles
Turismo,cultura de viaje sostenible
Turismo,corresponsabilidad turística
Turismo,desarrollo turístico
Turismo,turismo en áreas protegidas
Turismo,plataforma de inteligencia turística
Turismo,gestión turística
Turismo,sostenibilidad del turismo
Turismo,relación turismo-biodiversidad
Turismo,comportamiento turístico
Turismo,geoportal turístico
Turismo,potencia turística
Turismo,infraestructura turística
Turismo,recursos naturales únicos
Turismo,valor agregado
Turismo,recorrido virtual
Turismo,huella hídrica
Turismo,gestión del agua
Turismo,fauna silvestre
Biotecnología,virocap
Turismo,estrategia de turismo cientifico de naturaleza
Turismo,plan de desarrollo turístico
Agro,sistemas agroalimentarios regenerativos
Agro,sistema socio-ecológico
Agro,agricultura regenerativa
Agro,microorganismos
Agro,fijación de nitrógeno
Agro,salud del suelo
Agro,fertilización biológica
Agro,compost
Agro,sistema agrícola
Agro,fertilidad del suelo
Agro,materia orgánica
Transversal,bioeconómico
Transversal,bioeconomico
Agro,ciclo de nutrientes
Agro,polinización abiótica
Transversal,abundancia ecologica
Forestal,restauración activa
Forestal,forestación
Agro,planes agroambientales
Agro,biología agrícola
Agro,química agrícola
Agro,cooperativa agrícola
Agro,crédito agrícola
Agro,enseñanza agrícola
Agro,ingeniería agrícola
Agro,empresa agrícola
Agro,extensificación agrícola_1
Agro,extensión agrícola
Agro,genética agrícola
Agro,sistema de información agrícola
Agro,intensificación agrícola
Agro,tierra agrícola
Agro,mercado agrícola
Agro,planificación agrícola
Agro,política agraria
Agro,precio agrícola
Agro,producción agrícola
Agro,paisajes de producción agrícola
Agro,producto agrícola
Agro,investigación agrícola
Agro,desperdicio agrícola
Agro,sistemas agrosilvícolas
Agro,sistemas agrosilvipastoriles
Agro,agrodeforestación
Agro,zonas agroecológicas
Agro,agrosilvopastoralismo
Agro,agrobiodiversidad
Agro,biodiversidad agrícola
Agro,agricultura agroecológica
Agro,protección agroecológica de cultivos
Agro,diseño agroecológico
Agro,infraestructura agroecológica
Agro,transición agroecológica
Agro,agroecologia_1
Agro,agroecosistema
Agro,salud del agroecosistema
Agro,agroforestería_1
Agro,agroindustria
Transversal,especies exóticas invasoras
Transversal,especies foráneas
Transversal,alelopatía
Agro,suelo aluvial
Agro,agricultura alternativa
Transversal,anaeróbico
Transversal,digestión anaeróbica en granjas
Agro,bioma antropogénico
Transversal,paisajes antropogénicos
Piscícola,acuapónico
Piscícola,ecosistema acuático
Piscícola,medio ambiente acuático
Biotecnología,mejoramiento de plantas moleculares
Transversal,acuífero
Transversal,capa acuífera
Transversal,ecosistemas áridos
Transversal,regiones áridas
Transversal,zona árida
Transversal,aridificación
Transversal,biodiversidad asociada
Agro,autonomía en los sistemas agrícolas
Transversal,páramos
Transversal,bioclimatología
Turismo,diversidad biocultural
Transversal,pérdida de biodiversidad
Agro,agricultura biodinámica
Transversal,biofumigación
Energía,biogás
Transversal,biogénesis
Transversal,biogeoquímica
Transversal,biogeografía
Transversal,adaptación biológica
Transversal,diversidad biológica
Transversal,efectos biológicos
Transversal,aporte biológico
Transversal,regulación biológica
Transversal,investigación biológica
Transversal,recursos biológicos
Energía,energía de la biomasa
Transversal,bioma
Transversal,biometría
Agro,agroclimatología
Transversal,biorecurso
Transversal,enfermedad animal
Transversal,biosfera
Transversal,reservas de la biosfera
Transversal,biota
Transversal,ecología animal
Transversal,zootecnia
Transversal,anóxico
Transversal,facilitación biótica
Transversal,homogeneización biótica
Transversal,ave
Transversal,investigación aplicada
Transversal,carbono azul
Piscícola,animal acuático
Transversal,suspensiones acuosas
Transversal,procreación artificial
Transversal,autofertilidad
Forestal,deforestación evitada en conjunto con forestación y reforestación (adaff)
Agro,apicultura
Biotecnología,estabilización biotecnológica
Transversal,biocapacidad
Transversal,biocarbón
Transversal,demanda bioquímica de oxígeno
Transversal,carbono
Transversal,gestión biocultural
Turismo,refugios bioculturales
Transversal,huella de biodiversidad
Transversal,huella de carbono
Transversal,compensación de carbono
Transversal,hotspot de biodiversidad
Transversal,sumidero de carbono
Transversal,almacenamiento de carbono
Transversal,compensación de biodiversidad
Transversal,absorción de carbono
Transversal,bioetanol
Transversal,biogénico
Transversal,especies casuales
Transversal,ciclos biogeoquímicos
Transversal,demanda biológica de oxígeno
Transversal,sistema biofísico
Transversal,valor biofísico
Transversal,bioseguridad
Transversal,jardin botánico
Transversal,zonas de amortiguamiento
Transversal,compuesto químico
Transversal,efectos químicos
Transversal,elemento químico
Transversal,abejorro
Transversal,cinética química
Transversal,impuestos al carbono
Transversal,certificación ambiental
Transversal,propiedad química
Transversal,especie carismática
Transversal,ecosistema quimiosintético
Transversal,adaptación al cambio climático
Transversal,quimiosíntesis
Transversal,datos climáticos
Transversal,medicina clínica
Transversal,sistemas de agua cerrados
Transversal,protección costera
Transversal,zona costera
Transversal,café
Transversal,gobernanza colaborativa
Transversal,regulación climática
Agro,agricultura climáticamente inteligente
Agro,agricultura climáticamente inteligente (csa)
Transversal,variabilidad climática
Transversal,comunidad ecológica
Forestal,bosques gestionados por la comunidad
Transversal,conservación basada en la comunidad
Transversal,gestión comunitaria de recursos naturales
Transversal,cultivo de cobertura
Transversal,auxiliares de cultivo
Transversal,cerrar ciclos de nutrientes
Transversal,polinización cruzada
Transversal,servicios ecosistémicos culturales
Forestal,silvicultura comunitaria
Transversal,siembra directa bajo cultivo de cobertura
Agro,agricultura ecológicamente intensiva
Forestal,manejo forestal comunitario
Transversal,monitoreo comunitario
Transversal,vulnerabilidad económica
Transversal,control biológico de conservación
Transversal,ecopatología
Transversal,contabilidad del ecosistema
Transversal,función del ecosistema
Transversal,integridad del ecosistema
Transversal,sensibilidad del ecosistema
Transversal,estructura del ecosistema
Transversal,efecto de borde
Transversal,química ambiental
Agro,intensificación de cultivos
Agro,pariente silvestre del cultivo
Agro,agricultura-ganadería
Agro,tierras de cultivo
Agro,diversificación del plan de cultivo.
Agro,sistema de cultivo
Transversal,información ambiental
Transversal,estadísticas ambientales
Transversal,análisis de datos
Transversal,recopilación de datos
Transversal,procesamiento de datos
Transversal,flora
Transversal,recursos forrajeros
Transversal,desierto
Transversal,biología popular
Transversal,control de alimentos
Forestal,bosque seco
Transversal,estadísticas alimentarias
Transversal,pastoreo a principios de primavera
Transversal,ecocertificación
Turismo,ecocomunalismo
Transversal,dinámica ecoevolutiva
Transversal,ecoinformática
Transversal,etiquetado ecologista
Transversal,ecocentrismo (o biocentrismo)
Transversal,ecohidrología
Transversal,punto de ruptura o umbral ecológico (o socioecológico)
Transversal,equilibrio ecológico
Transversal,comunidad ecologica
Transversal,conectividad ecológica
Transversal,crisis ecológica
Transversal,integridad ecológica
Transversal,justicia ecológica
Transversal,conocimiento ecológico
Transversal,procesos ecológicos
Transversal,investigación ecológica
Agro,agricultura ecológicamente intensificada
Transversal,ecología de los sistemas alimentarios.
Transversal,contratación pública verde
Transversal,agua verde
Transversal,floraciones de algas nocivas
Transversal,hidrógrafo
Transversal,enfoque ecosistémico
Transversal,datos hidrológicos
Transversal,bienes ecosistémicos
Transversal,restauración del ecosistema
Transversal,servicio ecosistémico
Agro,servicios ecosistémicos en agroecosistemas
Transversal,adaptación basada en ecosistemas
Transversal,adaptación al cambio climático basada en ecosistemas.
Transversal,enfoque basado en ecosistemas
Transversal,gestión basada en ecosistemas
Transversal,ecosistema
Transversal,agricultura integrada
Agro,cultivos intercalados
Transversal,polinizador introducido
Transversal,especie invasora
Transversal,animal de laboratorio
Transversal,economía de la tierra
Transversal,deterioro ambiental
Transversal,economía medioambiental
Transversal,educación ambiental
Transversal,ingeniería ambiental
Transversal,enseñanza de las ciencias del mar
Transversal,indicadores ambientales
Transversal,protocolo de nagoya
Transversal,curva ambiental de kuznets (ekc)
Transversal,legislación ambiental
Transversal,vigilancia ambiental
Transversal,calidad ambiental
Transversal,ciencias ambientales
Transversal,derecho natural
Transversal,exploración marina
Forestal,manejo forestal extensivo
Transversal,resiliencia agrícola
Transversal,pesquería
Transversal,agricultura campesina
Transversal,semillas campesinas
Transversal,pastizales permanentes
Transversal,fotoquímica
Transversal,flor
Transversal,dinámica de fluidos
Transversal,laboratorio de investigación
Transversal,consumo alimenticio
Transversal,costumbres alimenticias
Transversal,recursos alimentarios
Transversal,autosuficiencia alimentaria
Transversal,soberanía alimentaria
Transversal,resiliencia
Transversal,restauración
Forestal,incendio forestal
Forestal,jardín forestal
Forestal,producto forestal
Forestal,recursos forestales
Transversal,pastoreo rotacional
Forestal,bosque
Transversal,biodiversidad funcional
Transversal,gen
Transversal,genoma
Transversal,genotipo
Transversal,germoplasma
Biotecnología,mejoramiento vegetal
Transversal,bonos verdes
Transversal,economía verde
Transversal,crecimiento verde
Transversal,abono verde
Transversal,gases de efecto invernadero
Transversal,pérdida de hábitat
Transversal,modificación del hábitat
Transversal,especialista en hábitat
Agro,agricultura de alto valor ambiental
Transversal,pastizales sembrados de alta diversidad
Transversal,sistema socioecológico
Transversal,ecología humana
Transversal,genética humana
Agro,degradación de suelos
Agro,humedad del suelo
Agro,agua del suelo
Transversal,hidrobiología
Transversal,ciclo hidrológico
Transversal,análisis espectroquímico
Transversal,espectrómetro
Agro,administracion agricola
Agro,quimica agricola
Transversal,animal salvaje
Agro,legislacion agraria
Agro,excedentes agricolas
Transversal,enfermedades de los animales
Transversal,gestión integrada de los recursos hídricos
Transversal,manejo integrado de malezas
Transversal,grasas animales
Transversal,aceites animales
Transversal,especie exótica invasora
Biotecnología,reproduccion animal
Biotecnología,virus animales
Biotecnología,material de laboratorio
Biotecnología,bio base europa
Transversal,biomasa aérea
Transversal,absorcion
Transversal,adsorcion
Transversal,poder de adsorcion
Transversal,aerobiosis
Agro,politica agraria
Agro,reforma agraria
Agro,sistemas agrarios
Transversal,algas
Transversal,algas
Transversal,secuencia de aminoacidos
Transversal,aminoacidos
Transversal,aminoalcoholes
Transversal,anfibios
Forestal,politica forestal
Transversal,anaerobiosis
Transversal,analisis de laboratorio
Agro,agricultura multifuncional
Transversal,analisis de las funciones sistemicas
Transversal,analisis de las estructuras sistemicas
Forestal,bosques nativos
Transversal,bioquimica analitica
Transversal,ananas
Biotecnología,biologia animal
Agro,ecologia animal
Agro,alimentos para animales
Agro,alimentación animal
Agro,fibras animales
Agro,estiércol animal
Agro,nutricion animal
Agro,produccion animal
Agro,animalidad
Agro,animales
Transversal,antiinfecciosos
Salud,antiinflamatorios
Transversal,antiarritmicos
Transversal,antibiosis
Transversal,antibioticos
Salud,anticuerpos
Transversal,formacion de anticuerpos
Transversal,especificidad de los anticuerpos
Transversal,anticolinergicos
Salud,anticoagulantes
Transversal,anticonvulsivos
Transversal,antidepresores
Transversal,antidiabeticos
Transversal,antiemeticos
Transversal,antifungicos
Transversal,complejo antigeno-anticuerpo
Agro,agricultura organica
Transversal,reacciones antigeno-anticuerpo
Salud,antigenos
Transversal,antihistaminicos
Transversal,antihipertensores
Transversal,antimetabolitos
Agro,agricultura permanente
Transversal,antineoplasicos
Transversal,antiparasitarios
Transversal,antiparkinsonianos
Transversal,antiprotozoarios
Transversal,antisepsia
Transversal,antisepticos
Agro,economia del suelo
Transversal,antiespermatogenicos
Transversal,antitoxinas
Transversal,antituberculosos
Transversal,antitusivos
Transversal,agentes antivirales
Transversal,antivirosicos
Agro,manzano
Transversal,aplicacion de la c+t
Transversal,aplicacion de los resultados de i+d
Transversal,investigacion aplicada
Residuos,residuos marrones
Transversal,ciencias aplicadas
Agro,tierras arables
Transversal,aracnidos
Forestal,arboricultura
Transversal,artropodos
Agro,inseminacion artificial
Agro,relocalización de la agricultura
Transversal,ascaris
Transversal,astrobiologia
Transversal,autoecologia
Transversal,centros de i+d autonomos
Transversal,capacidad de agua disponible
Transversal,variación genética promedio
Agro,palta
Agro,aguacate
Agro,aguacates
Transversal,vacunas bacterianas
Transversal,bacteriologos
Transversal,bacteriologia
Agro,biblioteca agrícola
Agro,índice de orientación agrícola
Transversal,bacteriofago
Transversal,bagazo
Transversal,bambú
Agro,platano
Agro,bananos
Agro,platanos
Agro,agricultura de conservación_1
Agro,cebada
Transversal,técnica de conservación
Agro,cebada
Agro,frijoles
Agro,porotos
Agro,haya
Agro,azucar de remolacha
Agro,cultivos
Transversal,beggiatoales
Forestal,deforestación
Agro,bergamotas
Energía,mantenimiento de plantas de biogás.
Transversal,producto químico de base biológica
Transversal,compuesto de base biológica
Transversal,fertilizante de base biológica
Transversal,industria de base biológica
Transversal,material de base biológica
Transversal,producto de base biológica
Transversal,productos de base biológica
Energía,biobutanol
Energía,biocatalizador
Energía,biocarbón
Transversal,bioquímica
Transversal,bioconversión
Energía,bio-crudo
Energía,bio-crudo
Transversal,bolsa biodegradable
Transversal,biodegradación
Energía,biodiesel
Energía,producción de biodiesel
Transversal,biosecado
Transversal,bioeconomía
Energía,bioetanol
Energía,producción de bioetanol
Transversal,biofertilizante
Transversal,biofertilizante
Transversal,biopelícula
Transversal,biofiltro
Transversal,biocombustible
Forestal,degradación forestal_1
Forestal,transición forestal
Agro,fertilidad biológica del suelo
Agro,agricultura de conservación del suelo
Energía,producción de biocombustibles
Energía,biogás
Energía,operar planta de biogás.
Agro,vida del suelo
Agro,mapa edafológico
Energía,producción de biogás
Energía,biogasolina
Energía,biohidrógeno
Agro,recursos de suelos
Agro,edafología de los suelos
Energía,producción de biohidrógeno
Energía,biohitano
Energía,biolubricante
Transversal,biofabricación
Transversal,biofabricación
Energía,biometano
Energía,bio-aceite
Agro,hotspot de agrobiodiversidad
Agro,bioplaguicida
Biotecnología,bioplástico
Transversal,biopolímero
Transversal,bioproceso
Transversal,bioproducto
Energía,biorreactor
Energía,vertedero de biorreactores
Energía,bio-recuperación
Transversal,biorefinería
Forestal,silvicultura comunitaria sostenible
Transversal,biorremediación
Transversal,biosorción
Agro,agricultura intensiva sostenible
Agro,gestión sostenible de la materia orgánica del suelo.
Transversal,biosurfactante
Transversal,biosíntesis
Transversal,biotransformación
Transversal,bioacumulación
Transversal,cambio tecnológico
Agro,producto químico de base biológica
Agro,compuesto de base biológica
Agro,economía de base biológica
Agro,fertilizante de base biológica
Agro,industria de base biológica
Agro,material de base biológica
Agro,producto de base biológica
Energía,biobutanol
Transversal,biocatalizador
Transversal,genetica bioquimica
Transversal,demanda bioquimica de oxigeno
Transversal,fenomenos bioquimicos
Transversal,bioclimatologia
Transversal,materiales biocompatibles
Transversal,bioconversión
Energía,biocrudo
Energía,biocrudo
Forestal,bosque y selva tropicales
Transversal,bolsa biodegradable
Transversal,biodegradacion
Energía,producción de biodiésel
Transversal,puntos críticos de huella de biodiversidad
Transversal,índice de integridad de la biodiversidad
Agro,biosecado
Transversal,bioemulsificantes
Transversal,bioemulsiones
Energía,bioetanol
Residuos,agua residual
Agro,biofertilizante
Agro,biofertilizante
Transversal,biofiltro
Energía,biogas
Energía,biogás
Energía,producción de biogás
Energía,biogasolina
Energía,biogenesis
Energía,compuestos orgánicos volátiles biogénicos
Transversal,biogeografia
Transversal,biogravitacion
Transversal,biohitano
Transversal,bioinstrumentacion
Transversal,adaptacion biologica
Transversal,equilibrio biologico
Transversal,factores biologicos
Transversal,control biologico de plagas
Agro,empresas agricolas
Agro,cooperativas agricolas
Agro,desarrollo agricola
Agro,economia agricola
Transversal,fenomenos biologicos
Transversal,productos biologicos
Agro,planificacion agricola
Energía,planta de biogás
Agro,potencial agricola
Agro,produccion agricola
Agro,proyectos agricolas
Agro,regiones agricolas
Agro,residuos agricolas
Transversal,regeneracion biologica
Agro,servicios agricolas
Agro,sistemas agricolas
Agro,tecnologia agricola
Agro,agricultura para la exportacion
Agro,agricultura. alimentación
Agro,explotacion agricola
Agro,complejos agroindustriales
Agro,ingenieria agronomica
Agro,i+d agronomica
Agro,agronomos
Agro,ingenieros agronomos
Agro,agronomia
Transversal,recursos biologicos
Transversal,muestras biologicas
Transversal,ciencias biológicas
Transversal,encuestas biologicas
Transversal,terapia biologica
Transversal,transporte biologico
Transversal,instalación de tratamiento biológico
Transversal,biologos
Transversal,biologia
Energía,biolubricante
Transversal,biofabricación
Transversal,briquetas de biomasa
Transversal,concentración de biomasa
Transversal,eliminación de biomasa
Transversal,energía de biomasa
Transversal,producción de biomasa
Transversal,valorización de biomasa
Forestal,productos forestales no maderables
Transversal,biomatematica
Transversal,biomecanica
Biotecnología,ingenieria biomedica
Energía,fuente de energía no renovable
Biotecnología,materiales biomedicos
Transversal,bionica
Forestal,bosque antiguo
Residuos,residuos de animales
Transversal,bioaceite
Transversal,biofisica
Transversal,bioplástico
Biotecnología,biopolímero
Biotecnología,biopolimerizacion
Transversal,bioproducto
Biotecnología,vertedero de biorreactores
Transversal,biorrecuperación
Transversal,biosorción
Transversal,biosintesis
Transversal,bioterrorismo
Transversal,material biótico
Agro,abedul
Agro,abedul
Turismo,aves
Turismo,jardines botanicos
Transversal,botanicos
Energía,reparación de plantas de biogás.
Transversal,botanica
Transversal,braquiopodos
Transversal,hortalizas bulbosas
Transversal,subproducto
Transversal,subproductos
Transversal,colecciones de c+t
Agro,azucar de caña
Transversal,capitalizacion de los resultados de i+d
Transversal,ciclo del carbono_1
Transversal,dióxido de carbono
Transversal,equivalente de dióxido de carbono
Agro,cultivo de carbono
Transversal,secuestro de carbono
Transversal,caroteno
Transversal,carotenos
Transversal,carotenoides
Forestal,reducción de las emisiones de la deforestación
Agro,zanahorias
Forestal,bosques artificiales
Agro,mandioca
Energía,planta de biogás
Forestal,reducción de emisiones por deforestación y degradación forestal
Agro,aceite de ricino
Energía,energía renovable
Energía,fuente de energía renovable
Transversal,catalisis
Transversal,catalizadores
Transversal,pirólisis catalítica
Biotecnología,biologia celular
Biotecnología,cultivo celular
Agro,cultivos celulares
Transversal,morfologia celular
Transversal,fisiologia celular
Transversal,estructura celular
Transversal,celulas (biologia)
Transversal,division celular
Transversal,membrana celular
Transversal,celulosa
Transversal,celulosa
Transversal,esteres de celulosa
Transversal,eteres de celulosa
Transversal,resinas celulosicas
Transversal,celulosa a etanol
Transversal,centrifugacion
Forestal,bosque de segundo crecimiento
Agro,cereal
Agro,cultivo de cereales (operacion)
Agro,productos cereales
Transversal,ingenieria quimica
Transversal,ingenieros quimicos
Transversal,quitina
Transversal,quitosano
Transversal,análisis cromatográfico
Biotecnología,cromatografia
Transversal,cromosoma
Transversal,bioeconomía circular
Transversal,modelo de negocio circular
Transversal,cadena de valor industrial circular
Transversal,economía regenerativa circular
Transversal,solución circular
Transversal,cadena de valor circular
Transversal,evaluación de circularidad
Transversal,bioquimica clinica
Transversal,círculo cerrado de nutrientes
Biotecnología,co-pirolisis
Agro,cacao
Agro,cacao (arbol)
Agro,aceite de coco
Agro,cocotero
Agro,cafe
Agro,cafeto (arbol)
Transversal,coloides
Transversal,compuestos organicos complejos
Transversal,materiales compuestos
Transversal,composicion de la materia
Transversal,composicion de medicamentos
Transversal,pila de compost
Transversal,compostaje
Transversal,conífera
Transversal,conífero
Biotecnología,biotecnologia
Transversal,beneficios de conservación
Transversal,laboratorios de control
Transversal,matorral
Transversal,corcho
Transversal,maíz
Agro,fertilidad del suelo
Agro,calidad del suelo
Transversal,chips de maíz
Transversal,aceite de maiz
Transversal,algodon
Agro,fibras de algodon
Agro,tallo de algodon
Agro,aceite de algodon
Agro,sistemas socioecológicos acoplados
Agro,madera contralaminada
Transversal,cristalizacion
Agro,cristalografia
Agro,frutas cucurbitaceas
Agro,cucurbitaceas
Agro,tierras cultivadas
Agro,tierra cultivada
Agro,cultivo
Agro,cultivo en bancales
Agro,manejo sustentable del suelo
Agro,agricultura intensificada de forma sostenible
Agro,practicas de cultivo
Transversal,transferencia de tecnología
Transversal,servicio de transferencia de tecnología
Transversal,fermentación oscura
Transversal,desalquilacion
Transversal,desaminacion
Transversal,decantacion
Transversal,descarboxilacion
Transversal,descloracion
Transversal,reacciones de descomposicion
Transversal,descontaminacion
Transversal,desgasificacion
Transversal,deshumidificacion
Agro,alimentos deshidratados
Transversal,deshidratacion
Transversal,desionizacion
Transversal,desmineralizacion
Transversal,desarrollo de nuevos procesos
Transversal,desarrollo de nuevos productos
Transversal,coeficiente de difusion
Biotecnología,digestato
Transversal,agentes dispersantes
Transversal,destilacion
Transversal,diversificacion de la produccion
Residuos,eliminación de desechos
Agro,agricultura diversificada
Agro,sistema agrícola diversificado
Transversal,código de barras de adn
Transversal,delfines
Transversal,genes dominantes
Biotecnología,interaccion de medicamentos
Biotecnología,metabolismo de los medicamentos
Biotecnología,receptores de medicamentos
Biotecnología,estabilidad de medicamentos
Biotecnología,terapia con medicamentos
Biotecnología,farmacos
Agro,cultivo en tierras áridas
Transversal,secado
Transversal,aceites secantes
Forestal,deforestacion
Forestal,tierras deforestadas
Transversal,degradación de las tierras secas
Agro,agricultura de secano
Transversal,patos
Transversal,lombriz de tierra
Transversal,ébano
Transversal,equinodermos
Transversal,balance ecologico
Transversal,crisis ecologica
Transversal,degradacion ecologica
Transversal,desastres ecologicos
Transversal,viabilidad ecologica
Transversal,huella ecológica
Transversal,nicho ecológico
Transversal,relaciones ecologicas
Transversal,sistemas ecologicos
Residuos,residuos domesticos
Transversal,ecologia
Transversal,degradación del ecosistema
Transversal,ingeniero de ecosistemas
Transversal,salud del ecosistema
Transversal,gestión de ecosistemas
Agro,tierra (suelos)
Transversal,servicio ecosistémico
Transversal,ecosistemas
Transversal,ecotono
